Team,Total DVOA Rank,Total DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA
ARI,29.00,-0.21,30.00,-0.16,24.00,0.05,19.00,-0.01
ATL,20.00,-0.05,15.00,0.05,30.00,0.12,7.00,0.03
BAL,6.00,0.18,10.00,0.08,8.00,-0.06,2.00,0.04
BUF,1.00,0.32,2.00,0.18,4.00,-0.12,6.00,0.03
CAR,27.00,-0.12,23.00,-0.08,26.00,0.06,9.00,0.02
CHI,30.00,-0.27,27.00,-0.11,32.00,0.16,14.00,0.00
CIN,7.00,0.17,4.00,0.15,12.00,-0.03,21.00,-0.01
CLE,11.00,0.06,8.00,0.08,22.00,0.03,13.00,0.01
DAL,4.00,0.22,14.00,0.05,2.00,-0.14,4.00,0.03
DEN,26.00,-0.12,29.00,-0.16,7.00,-0.07,28.00,-0.03
DET,9.00,0.07,6.00,0.13,28.00,0.08,8.00,0.02
GB,12.00,0.05,11.00,0.08,18.00,0.02,17.00,-0.01
HOU,31.00,-0.28,31.00,-0.29,20.00,0.03,3.00,0.04
IND,32.00,-0.32,32.00,-0.32,14.00,-0.02,26.00,-0.02
JAX,14.00,0.02,9.00,0.08,27.00,0.07,12.00,0.01
KC,5.00,0.21,1.00,0.26,23.00,0.04,24.00,-0.01
LAC,18.00,-0.01,19.00,-0.03,15.00,-0.01,10.00,0.01
LAR,25.00,-0.12,24.00,-0.08,19.00,0.02,20.00,-0.01
LV,24.00,-0.09,16.00,0.03,31.00,0.13,11.00,0.01
MIA,8.00,0.08,5.00,0.13,17.00,0.02,30.00,-0.04
MIN,28.00,-0.14,20.00,-0.05,25.00,0.06,31.00,-0.04
NE,13.00,0.02,26.00,-0.10,3.00,-0.14,27.00,-0.02
NO,19.00,-0.02,22.00,-0.07,9.00,-0.05,18.00,-0.01
NYG,21.00,-0.06,12.00,0.07,29.00,0.11,22.00,-0.01
NYJ,15.00,0.01,25.00,-0.08,6.00,-0.10,23.00,-0.01
PHI,2.00,0.26,3.00,0.16,5.00,-0.10,15.00,0.00
PIT,16.00,0.00,18.00,-0.01,11.00,-0.04,29.00,-0.03
SEA,10.00,0.07,13.00,0.06,21.00,0.03,1.00,0.04
SF,3.00,0.26,7.00,0.12,1.00,-0.14,16.00,0.00
TB,17.00,0.00,17.00,0.01,10.00,-0.04,32.00,-0.05
TEN,23.00,-0.08,21.00,-0.05,16.00,0.02,25.00,-0.01
WAS,22.00,-0.08,28.00,-0.13,13.00,-0.02,5.00,0.03